prompt,step,pos,p,anchor,prev_tok,drafter_argmax,target_tok,match,rank_target_in_drafter,drafter_top1_top2_gap,rank_drafter_in_q2,q2_top1_top2_gap
code_histogram,8,78,2,65,13930,14614,14614,1,0,8.9669,0,14.3008
code_histogram,8,78,3,65,14614,88287,88287,1,0,7.9581,0,4.6131
code_histogram,8,78,4,65,88287,90812,90812,1,0,6.9782,0,10.9912
code_histogram,8,78,5,65,90812,396,396,1,0,7.1098,0,9.675
code_sort_pairs,1,82,1,1309,1309,304,304,1,0,8.2951,0,13.6692
code_sort_pairs,1,82,2,1309,304,4678,4678,1,0,0.2579,0,1.9173
code_sort_pairs,1,82,3,1309,4678,3608,5803,0,1,1.4692,2,2.0003
code_sort_pairs,1,82,4,1309,3608,34670,5224,0,3700,8.0333,129,14.8392
code_sort_pairs,1,82,5,1309,34670,26374,5851,0,24966,2.193,129,25.8448
code_sort_pairs,2,83,1,304,304,4678,4678,1,0,0.2713,0,1.9173
code_sort_pairs,2,83,2,304,4678,5803,5803,1,0,1.0491,0,2.0003
code_sort_pairs,2,83,3,304,5803,5224,5224,1,0,3.4681,0,14.8392
code_sort_pairs,2,83,4,304,5224,5851,5851,1,0,3.183,0,25.8448
code_sort_pairs,2,83,5,304,5851,5803,7093,0,68,0.5743,50,0.732
code_sort_pairs,3,84,1,4678,4678,4731,5803,0,4,5.2199,129,2.0003
code_sort_pairs,3,84,2,4678,4731,482,5224,0,110,1.9174,129,14.8392
code_sort_pairs,3,84,3,4678,482,5224,5851,0,19,1.9194,129,25.8448
code_sort_pairs,3,84,4,4678,5224,5851,7093,0,1499,6.3258,129,0.732
code_sort_pairs,3,84,5,4678,5851,16,5851,0,4863,0.1683,55,18.1253
code_sort_pairs,4,85,1,5803,5803,16354,5224,0,1,0.4489,4,14.8392
code_sort_pairs,4,85,2,5803,16354,16,5851,0,1127,0.6715,129,25.8448
code_sort_pairs,4,85,3,5803,16,455,7093,0,986,0.8901,129,0.732
code_sort_pairs,4,85,4,5803,455,2019,5851,0,213,0.247,129,18.1253
code_sort_pairs,4,85,5,5803,2019,16,11,0,7,0.4199,8,2.2557
code_sort_pairs,5,86,1,5224,5224,5851,5851,1,0,20.8352,0,25.8448
code_sort_pairs,5,86,2,5224,5851,7093,7093,1,0,4.5111,0,0.732
code_sort_pairs,5,86,3,5224,7093,5851,5851,1,0,8.6107,0,18.1253
code_sort_pairs,5,86,4,5224,5851,11,11,1,0,2.3911,0,2.2557
code_sort_pairs,5,86,5,5224,11,396,396,1,0,2.3724,0,4.4715
code_sort_pairs,6,87,1,5851,5851,7093,7093,1,0,0.4254,0,0.732
code_sort_pairs,6,87,2,5851,7093,5851,5851,1,0,7.4694,0,18.1253
code_sort_pairs,6,87,3,5851,5851,11,11,1,0,0.5356,0,2.2557
code_sort_pairs,6,87,4,5851,11,396,396,1,0,1.7282,0,4.4715
code_sort_pairs,6,87,5,5851,396,6026,29074,0,5,3.3189,1,0.0381
code_sort_pairs,7,88,1,7093,7093,5851,5851,1,0,12.3291,0,18.1253
code_sort_pairs,7,88,2,7093,5851,11,11,1,0,2.2309,0,2.2557
code_sort_pairs,7,88,3,7093,11,396,396,1,0,2.8475,0,4.4715
code_sort_pairs,7,88,4,7093,396,29074,29074,1,0,1.4692,0,0.0381
code_sort_pairs,7,88,5,7093,29074,16354,260,0,2,0.7388,6,0.4216
code_sort_pairs,8,89,1,5851,5851,11,11,1,0,1.2403,0,2.2557
code_sort_pairs,8,89,2,5851,11,396,396,1,0,3.2547,0,4.4715
code_sort_pairs,8,89,3,5851,396,6026,29074,0,2,2.4067,1,0.0381
code_sort_pairs,8,89,4,5851,6026,260,260,1,0,5.3994,0,0.4216
code_sort_pairs,8,89,5,5851,260,2310,2310,1,0,2.267,0,19.4652
code_topk,1,68,1,1309,1309,304,304,1,0,5.3554,0,11.4485
code_topk,1,68,2,1309,304,5085,4678,0,1,0.5297,1,0.9655
code_topk,1,68,3,1309,5085,260,2656,0,2,2.2187,2,1.5824
code_topk,1,68,4,1309,260,15255,24224,0,92,0.3111,129,9.8315
code_topk,1,68,5,1309,15255,2019,5598,0,5323,1.2086,16,16.5127
code_topk,2,69,1,304,304,4678,4678,1,0,0.0176,0,0.9655
code_topk,2,69,2,304,4678,3608,2656,0,1,0.2181,1,1.5824
code_topk,2,69,3,304,3608,16126,24224,0,807,2.5003,129,9.8315
code_topk,2,69,4,304,16126,24224,5598,0,9,3.6315,2,16.5127
code_topk,2,69,5,304,24224,89,57764,0,1473,0.2594,129,15.6346
code_topk,3,70,1,4678,4678,3608,2656,0,6,0.4567,1,1.5824
code_topk,3,70,2,4678,3608,16126,24224,0,1678,3.6566,129,9.8315
code_topk,3,70,3,4678,16126,24224,5598,0,1,1.6188,2,16.5127
code_topk,3,70,4,4678,24224,5598,57764,0,22,0.7855,21,15.6346
code_topk,3,70,5,4678,5598,57764,27460,0,279,0.8998,129,3.1151
code_topk,4,71,1,2656,2656,473,24224,0,7,3.9079,1,9.8315
code_topk,4,71,2,2656,473,17215,5598,0,31,0.9586,1,16.5127
code_topk,4,71,3,2656,17215,7316,57764,0,889,0.5574,129,15.6346
code_topk,4,71,4,2656,7316,16,27460,0,724,1.6977,3,3.1151
code_topk,4,71,5,2656,16,455,14,0,5440,2.2115,129,10.8908
code_topk,5,72,1,24224,24224,5598,5598,1,0,10.1879,0,16.5127
code_topk,5,72,2,24224,5598,57764,57764,1,0,10.4696,0,15.6346
code_topk,5,72,3,24224,57764,27460,27460,1,0,3.2164,0,3.1151
code_topk,5,72,4,24224,27460,14,14,1,0,2.9288,0,10.8908
code_topk,5,72,5,24224,14,313,473,0,1,0.0582,24,19.3794
code_topk,6,73,1,5598,5598,57764,57764,1,0,12.8039,0,15.6346
code_topk,6,73,2,5598,57764,27460,27460,1,0,7.6176,0,3.1151
code_topk,6,73,3,5598,27460,14,14,1,0,7.1004,0,10.8908
code_topk,6,73,4,5598,14,473,473,1,0,12.4265,0,19.3794
code_topk,6,73,5,5598,473,11,11,1,0,2.7485,0,1.3357
code_topk,7,74,1,57764,57764,27460,27460,1,0,5.0083,0,3.1151
code_topk,7,74,2,57764,27460,14,14,1,0,6.9347,0,10.8908
code_topk,7,74,3,57764,14,473,473,1,0,9.6249,0,19.3794
code_topk,7,74,4,57764,473,11,11,1,0,1.1187,0,1.3357
code_topk,7,74,5,57764,11,396,396,1,0,0.1639,0,4.2515
code_topk,8,75,1,27460,27460,14,14,1,0,3.8873,0,10.8908
code_topk,8,75,2,27460,14,473,473,1,0,7.1775,0,19.3794
code_topk,8,75,3,27460,473,11,11,1,0,1.1719,0,1.3357
code_topk,8,75,4,27460,11,396,396,1,0,0.9687,0,4.2515
code_topk,8,75,5,27460,396,10340,10340,1,0,3.8407,0,5.6037
grounded_archive,1,103,1,1309,1309,304,304,1,0,9.7429,0,16.6968
grounded_archive,1,103,2,1309,304,5448,5448,1,0,3.294,0,5.567
grounded_archive,1,103,3,1309,5448,270,270,1,0,3.6759,0,7.0002
grounded_archive,1,103,4,1309,270,11219,11219,1,0,3.2966,0,17.3417
grounded_archive,1,103,5,1309,11219,295,295,1,0,4.4244,0,1.4906
grounded_archive,2,104,1,304,304,5448,5448,1,0,3.5948,0,5.567
grounded_archive,2,104,2,304,5448,270,270,1,0,7.5005,0,7.0002
grounded_archive,2,104,3,304,270,11219,11219,1,0,2.9372,0,17.3417
grounded_archive,2,104,4,304,11219,295,295,1,0,1.3404,0,1.4906
grounded_archive,2,104,5,304,295,1234,1234,1,0,2.2495,0,3.3911
grounded_archive,3,105,1,5448,5448,270,270,1,0,6.5633,0,7.0002
grounded_archive,3,105,2,5448,270,11219,11219,1,0,6.3138,0,17.3417
grounded_archive,3,105,3,5448,11219,295,295,1,0,1.46,0,1.4906
grounded_archive,3,105,4,5448,295,1234,1234,1,0,1.7678,0,3.3911
grounded_archive,3,105,5,5448,1234,42830,3107,0,7,6.9276,1,3.9575
grounded_archive,4,106,1,270,270,11219,11219,1,0,9.1066,0,17.3417
grounded_archive,4,106,2,270,11219,295,295,1,0,1.7975,0,1.4906
grounded_archive,4,106,3,270,295,1234,1234,1,0,2.0507,0,3.3911
grounded_archive,4,106,4,270,1234,42830,3107,0,5,3.8496,1,3.9575
grounded_archive,4,106,5,270,42830,14,42830,0,14,2.4653,2,17.4307
grounded_archive,5,107,1,11219,11219,295,295,1,0,0.1862,0,1.4906
grounded_archive,5,107,2,11219,295,1234,1234,1,0,0.6327,0,3.3911
grounded_archive,5,107,3,11219,1234,42830,3107,0,5,1.2716,1,3.9575
grounded_archive,5,107,4,11219,42830,14,42830,0,331,0.8301,2,17.4307
grounded_archive,5,107,5,11219,14,40688,14,0,20218,0.8169,5,3.4504
grounded_archive,6,108,1,295,295,1234,1234,1,0,2.0504,0,3.3911
grounded_archive,6,108,2,295,1234,42830,3107,0,2,1.168,1,3.9575
grounded_archive,6,108,3,295,42830,14,42830,0,274,1.9171,2,17.4307
grounded_archive,6,108,4,295,14,40688,14,0,14460,1.5482,5,3.4504
grounded_archive,6,108,5,295,40688,14,40688,0,495,2.092,129,1.3991
grounded_archive,7,109,1,1234,1234,42830,3107,0,1,0.7219,1,3.9575
grounded_archive,7,109,2,1234,42830,14,42830,0,4,4.4327,2,17.4307
grounded_archive,7,109,3,1234,14,40688,14,0,860,1.4876,5,3.4504
grounded_archive,7,109,4,1234,40688,295,40688,0,59,4.9206,38,1.3991
grounded_archive,7,109,5,1234,295,270,35984,0,200,2.4373,52,5.7948
grounded_archive,8,110,1,3107,3107,42830,42830,1,0,12.8085,0,17.4307
grounded_archive,8,110,2,3107,42830,14,14,1,0,5.208,0,3.4504
grounded_archive,8,110,3,3107,14,40688,40688,1,0,1.0742,0,1.3991
grounded_archive,8,110,4,3107,40688,295,35984,0,27,6.1151,1,5.7948
grounded_archive,8,110,5,3107,295,270,46030,0,3,3.7338,65,14.1882
grounded_observatory,1,114,1,1309,1309,304,304,1,0,8.03,0,14.3215
grounded_observatory,1,114,2,1309,304,5085,5085,1,0,6.356,0,6.9843
grounded_observatory,1,114,3,1309,5085,223,1234,0,2,0.7922,2,3.0035
grounded_observatory,1,114,4,1309,223,20,42830,0,336,5.4726,129,0.1134
grounded_observatory,1,114,5,1309,20,42830,295,0,22,1.0287,129,1.8157
grounded_observatory,2,115,1,304,304,5085,5085,1,0,5.5424,0,6.9843
grounded_observatory,2,115,2,304,5085,223,1234,0,1,0.1276,2,3.0035
grounded_observatory,2,115,3,304,223,20,42830,0,49,7.0314,129,0.1134
grounded_observatory,2,115,4,304,20,42830,295,0,15,1.7112,129,1.8157
grounded_observatory,2,115,5,304,42830,14,4824,0,26343,0.4148,129,6.7231
grounded_observatory,3,116,1,5085,5085,270,1234,0,2,0.2811,1,3.0035
grounded_observatory,3,116,2,5085,270,2894,42830,0,8,3.3534,13,0.1134
grounded_observatory,3,116,3,5085,2894,42830,295,0,62,3.2054,129,1.8157
grounded_observatory,3,116,4,5085,42830,2951,4824,0,408,0.3996,129,6.7231
grounded_observatory,3,116,5,5085,2951,377,30416,0,56631,7.5369,129,7.2793
grounded_observatory,4,117,1,1234,1234,42830,42830,1,0,0.7355,0,0.1134
grounded_observatory,4,117,2,1234,42830,294,295,0,3,1.2643,1,1.8157
grounded_observatory,4,117,3,1234,294,270,4824,0,19,2.2932,1,6.7231
grounded_observatory,4,117,4,1234,270,45816,30416,0,18009,1.4407,129,7.2793
grounded_observatory,4,117,5,1234,45816,14,3669,0,47,0.2109,1,15.0495
grounded_observatory,5,118,1,42830,42830,295,295,1,0,2.3675,0,1.8157
grounded_observatory,5,118,2,42830,295,4824,4824,1,0,0.5532,0,6.7231
grounded_observatory,5,118,3,42830,4824,1856,30416,0,1,2.5146,1,7.2793
grounded_observatory,5,118,4,42830,1856,14,3669,0,49,1.0175,1,15.0495
grounded_observatory,5,118,5,42830,14,18514,28779,0,78,2.9309,63,12.3825
grounded_observatory,6,119,1,295,295,4824,4824,1,0,3.9004,0,6.7231
grounded_observatory,6,119,2,295,4824,30416,30416,1,0,0.6066,0,7.2793
grounded_observatory,6,119,3,295,30416,14,3669,0,1,0.769,1,15.0495
grounded_observatory,6,119,4,295,14,4824,28779,0,24,2.7245,41,12.3825
grounded_observatory,6,119,5,295,4824,1856,14,0,4,2.3225,129,9.9739
grounded_observatory,7,120,1,4824,4824,1856,30416,0,1,1.3556,1,7.2793
grounded_observatory,7,120,2,4824,1856,3669,3669,1,0,9.1966,0,15.0495
grounded_observatory,7,120,3,4824,3669,28779,28779,1,0,5.9707,0,12.3825
grounded_observatory,7,120,4,4824,28779,14,14,1,0,5.3662,0,9.9739
grounded_observatory,7,120,5,4824,14,270,1119,0,7,1.211,95,3.9276
grounded_observatory,8,121,1,30416,30416,3669,3669,1,0,12.8198,0,15.0495
grounded_observatory,8,121,2,30416,3669,28779,28779,1,0,11.7496,0,12.3825
grounded_observatory,8,121,3,30416,28779,14,14,1,0,5.7735,0,9.9739
grounded_observatory,8,121,4,30416,14,18514,1119,0,9,2.5407,3,3.9276
grounded_observatory,8,121,5,30416,18514,538,21117,0,155,1.242,129,13.9116
grounded_repair,1,91,1,1309,1309,304,304,1,0,5.9405,0,8.9955
grounded_repair,1,91,2,1309,304,5085,5085,1,0,6.4123,0,8.3972
grounded_repair,1,91,3,1309,5085,260,260,1,0,5.1895,0,5.8207
grounded_repair,1,91,4,1309,260,47514,47514,1,0,0.3991,0,0.4686
grounded_repair,1,91,5,1309,47514,295,294,0,1,0.954,1,4.4719
grounded_repair,2,92,1,304,304,5085,5085,1,0,5.8166,0,8.3972
grounded_repair,2,92,2,304,5085,260,260,1,0,4.2626,0,5.8207
grounded_repair,2,92,3,304,260,3107,47514,0,1,0.7435,1,0.4686
grounded_repair,2,92,4,304,3107,42830,294,0,136,0.4644,22,4.4719
grounded_repair,2,92,5,304,42830,295,260,0,28,2.0568,21,3.257
grounded_repair,3,93,1,5085,5085,260,260,1,0,3.9353,0,5.8207
grounded_repair,3,93,2,5085,260,3107,47514,0,1,1.8283,1,0.4686
grounded_repair,3,93,3,5085,3107,42830,294,0,12,2.8201,22,4.4719
grounded_repair,3,93,4,5085,42830,2951,260,0,21,0.3127,65,3.257
grounded_repair,3,93,5,5085,2951,377,15292,0,89,5.984,129,18.0141
grounded_repair,4,94,1,260,260,3107,47514,0,1,1.9936,1,0.4686
grounded_repair,4,94,2,260,3107,47514,294,0,4,4.9391,129,4.4719
grounded_repair,4,94,3,260,47514,294,260,0,9,0.7786,22,3.257
grounded_repair,4,94,4,260,294,270,15292,0,19,1.1726,99,18.0141
grounded_repair,4,94,5,260,270,1234,2912,0,1,0.0717,129,18.6669
grounded_repair,5,95,1,47514,47514,295,294,0,1,0.5116,1,4.4719
grounded_repair,5,95,2,47514,295,270,260,0,1,1.3285,1,3.257
grounded_repair,5,95,3,47514,270,15292,15292,1,0,2.5577,0,18.0141
grounded_repair,5,95,4,47514,15292,2912,2912,1,0,1.3694,0,18.6669
grounded_repair,5,95,5,47514,2912,14,295,0,2,0.5508,2,2.0675
grounded_repair,6,96,1,294,294,260,260,1,0,4.854,0,3.257
grounded_repair,6,96,2,294,260,15292,15292,1,0,7.2175,0,18.0141
grounded_repair,6,96,3,294,15292,2912,2912,1,0,6.0889,0,18.6669
grounded_repair,6,96,4,294,2912,295,295,1,0,3.4132,0,2.0675
grounded_repair,6,96,5,294,295,223,1234,0,1,1.603,1,0.3446
grounded_repair,7,97,1,260,260,15292,15292,1,0,11.5173,0,18.0141
grounded_repair,7,97,2,260,15292,2912,2912,1,0,11.8658,0,18.6669
grounded_repair,7,97,3,260,2912,295,295,1,0,3.2494,0,2.0675
grounded_repair,7,97,4,260,295,223,1234,0,1,1.4528,1,0.3446
grounded_repair,7,97,5,260,223,20,42830,0,49,9.8525,129,17.8555
grounded_repair,8,98,1,15292,15292,2912,2912,1,0,5.4875,0,18.6669
grounded_repair,8,98,2,15292,2912,295,295,1,0,5.8278,0,2.0675
grounded_repair,8,98,3,15292,295,1234,1234,1,0,0.0788,0,0.3446
grounded_repair,8,98,4,15292,1234,42830,42830,1,0,1.2137,0,17.8555
grounded_repair,8,98,5,15292,42830,14,14,1,0,0.7835,0,2.2534
mixed_exactness_smoke,1,95,1,1309,1309,304,304,1,0,5.0158,0,11.1636
mixed_exactness_smoke,1,95,2,1309,304,7009,7009,1,0,0.913,0,0.0134
mixed_exactness_smoke,1,95,3,1309,7009,260,260,1,0,4.9034,0,6.3139
mixed_exactness_smoke,1,95,4,1309,260,2395,4256,0,7,2.703,1,0.1758
mixed_exactness_smoke,1,95,5,1309,2395,15255,396,0,157,3.0678,129,2.944
mixed_exactness_smoke,2,96,1,304,304,7009,7009,1,0,0.8495,0,0.0134
mixed_exactness_smoke,2,96,2,304,7009,260,260,1,0,3.6254,0,6.3139
mixed_exactness_smoke,2,96,3,304,260,2395,4256,0,3,2.7714,1,0.1758
mixed_exactness_smoke,2,96,4,304,2395,15255,396,0,352,2.43,129,2.944
mixed_exactness_smoke,2,96,5,304,15255,11314,5260,0,351,2.0637,129,2.6924
mixed_exactness_smoke,3,97,1,7009,7009,260,260,1,0,3.9531,0,6.3139
mixed_exactness_smoke,3,97,2,7009,260,2395,4256,0,1,0.2353,1,0.1758
mixed_exactness_smoke,3,97,3,7009,2395,15255,396,0,283,0.0942,129,2.944
mixed_exactness_smoke,3,97,4,7009,15255,4181,5260,0,97,0.8643,129,2.6924
mixed_exactness_smoke,3,97,5,7009,4181,418,260,0,88,0.0412,98,1.4594
mixed_exactness_smoke,4,98,1,260,260,4256,4256,1,0,2.9086,0,0.1758
mixed_exactness_smoke,4,98,2,260,4256,396,396,1,0,0.6976,0,2.944
mixed_exactness_smoke,4,98,3,260,396,5603,5260,0,1,2.0627,129,2.6924
mixed_exactness_smoke,4,98,4,260,5603,16,260,0,75,0.5485,40,1.4594
mixed_exactness_smoke,4,98,5,260,16,455,15255,0,33,1.041,129,2.6453
mixed_exactness_smoke,5,99,1,4256,4256,396,396,1,0,0.2725,0,2.944
mixed_exactness_smoke,5,99,2,4256,396,5260,5260,1,0,1.3261,0,2.6924
mixed_exactness_smoke,5,99,3,4256,5260,1952,260,0,2,0.13,4,1.4594
mixed_exactness_smoke,5,99,4,4256,1952,334,15255,0,58,1.557,129,2.6453
mixed_exactness_smoke,5,99,5,4256,334,2395,43398,0,28,0.4405,12,0.9039
mixed_exactness_smoke,6,100,1,396,396,5260,5260,1,0,3.6762,0,2.6924
mixed_exactness_smoke,6,100,2,396,5260,260,260,1,0,1.7376,0,1.4594
mixed_exactness_smoke,6,100,3,396,260,2395,15255,0,1,3.0741,2,2.6453
mixed_exactness_smoke,6,100,4,396,2395,15255,43398,0,3,4.5133,92,0.9039
mixed_exactness_smoke,6,100,5,396,15255,4181,2019,0,3,1.8482,4,8.4726
mixed_exactness_smoke,7,101,1,5260,5260,260,260,1,0,1.9797,0,1.4594
mixed_exactness_smoke,7,101,2,5260,260,15255,15255,1,0,2.1739,0,2.6453
mixed_exactness_smoke,7,101,3,5260,15255,4181,43398,0,12,2.8227,2,0.9039
mixed_exactness_smoke,7,101,4,5260,4181,334,2019,0,162,0.043,129,8.4726
mixed_exactness_smoke,7,101,5,5260,334,2395,305,0,21,0.0733,31,2.1192
mixed_exactness_smoke,8,102,1,260,260,2395,15255,0,1,0.2569,2,2.6453
mixed_exactness_smoke,8,102,2,260,2395,15255,43398,0,1,4.9757,92,0.9039
mixed_exactness_smoke,8,102,3,260,15255,43398,2019,0,1,0.8783,57,8.4726
mixed_exactness_smoke,8,102,4,260,43398,2019,305,0,1,3.5111,129,2.1192
mixed_exactness_smoke,8,102,5,260,2019,305,1539,0,23,0.7909,50,0.9875
synthesis_incident_json,1,122,1,1309,1309,304,304,1,0,11.5554,0,19.048
synthesis_incident_json,1,122,2,1309,304,7009,7009,1,0,1.1185,0,3.1545
synthesis_incident_json,1,122,3,1309,7009,260,260,1,0,2.956,0,5.6661
synthesis_incident_json,1,122,4,1309,260,26639,1550,0,4,3.5179,2,5.8096
synthesis_incident_json,1,122,5,1309,26639,2873,2399,0,5934,1.8925,115,16.2697
synthesis_incident_json,2,123,1,304,304,7009,7009,1,0,2.1483,0,3.1545
synthesis_incident_json,2,123,2,304,7009,260,260,1,0,3.3738,0,5.6661
synthesis_incident_json,2,123,3,304,260,26639,1550,0,1,2.5427,2,5.8096
synthesis_incident_json,2,123,4,304,26639,2873,2399,0,728,2.0152,115,16.2697
synthesis_incident_json,2,123,5,304,2873,418,26639,0,25,5.0347,129,19.294
synthesis_incident_json,3,124,1,7009,7009,260,260,1,0,2.904,0,5.6661
synthesis_incident_json,3,124,2,7009,260,26639,1550,0,2,2.5826,2,5.8096
synthesis_incident_json,3,124,3,7009,26639,418,2399,0,1196,0.3227,129,16.2697
synthesis_incident_json,3,124,4,7009,418,270,26639,0,3,2.1064,129,19.294
synthesis_incident_json,3,124,5,7009,270,26639,2873,0,1,0.6793,28,9.1742
synthesis_incident_json,4,125,1,260,260,1550,1550,1,0,1.2344,0,5.8096
synthesis_incident_json,4,125,2,260,1550,2399,2399,1,0,13.3183,0,16.2697
synthesis_incident_json,4,125,3,260,2399,26639,26639,1,0,3.5691,0,19.294
synthesis_incident_json,4,125,4,260,26639,2873,2873,1,0,2.7346,0,9.1742
synthesis_incident_json,4,125,5,260,2873,418,418,1,0,3.3872,0,0.3315
synthesis_incident_json,5,126,1,1550,1550,2399,2399,1,0,18.0924,0,16.2697
synthesis_incident_json,5,126,2,1550,2399,26639,26639,1,0,8.92,0,19.294
synthesis_incident_json,5,126,3,1550,26639,2873,2873,1,0,0.695,0,9.1742
synthesis_incident_json,5,126,4,1550,2873,418,418,1,0,1.2839,0,0.3315
synthesis_incident_json,5,126,5,1550,418,270,270,1,0,1.6118,0,0.5588
synthesis_incident_json,6,127,1,2399,2399,26639,26639,1,0,10.5211,0,19.294
synthesis_incident_json,6,127,2,2399,26639,2873,2873,1,0,6.3224,0,9.1742
synthesis_incident_json,6,127,3,2399,2873,538,418,0,1,0.0568,2,0.3315
synthesis_incident_json,6,127,4,2399,538,270,270,1,0,5.3247,0,0.5588
synthesis_incident_json,6,127,5,2399,270,2689,37913,0,39,1.5443,34,0.2618
synthesis_incident_json,7,128,1,26639,26639,2873,2873,1,0,5.4705,0,9.1742
synthesis_incident_json,7,128,2,26639,2873,418,418,1,0,2.6466,0,0.3315
synthesis_incident_json,7,128,3,26639,418,270,270,1,0,3.9876,0,0.5588
synthesis_incident_json,7,128,4,26639,270,2910,37913,0,5,1.9498,1,0.2618
synthesis_incident_json,7,128,5,26639,2910,14471,28,0,18,0.2853,129,1.6578
synthesis_incident_json,8,129,1,2873,2873,418,418,1,0,2.2541,0,0.3315
synthesis_incident_json,8,129,2,2873,418,411,270,0,1,0.2365,6,0.5588
synthesis_incident_json,8,129,3,2873,411,5554,37913,0,153,5.2416,8,0.2618
synthesis_incident_json,8,129,4,2873,5554,305,28,0,10,3.2731,23,1.6578
synthesis_incident_json,8,129,5,2873,305,31324,8926,0,71,2.0164,129,0.1204
synthesis_ops_json,1,166,1,1309,1309,304,304,1,0,13.0399,0,18.3908
synthesis_ops_json,1,166,2,1309,304,3551,7009,0,1,0.5296,1,0.2736
synthesis_ops_json,1,166,3,1309,3551,260,260,1,0,4.3712,0,5.7691
synthesis_ops_json,1,166,4,1309,260,26639,1550,0,4,2.3776,1,1.8788
synthesis_ops_json,1,166,5,1309,26639,2873,2399,0,1321,2.3511,129,14.5928
synthesis_ops_json,2,167,1,304,304,3551,7009,0,1,0.2994,1,0.2736
synthesis_ops_json,2,167,2,304,3551,260,260,1,0,3.7286,0,5.7691
synthesis_ops_json,2,167,3,304,260,26639,1550,0,2,2.6805,1,1.8788
synthesis_ops_json,2,167,4,304,26639,2873,2399,0,525,3.4393,129,14.5928
synthesis_ops_json,2,167,5,304,2873,418,26639,0,48,3.0906,129,16.5721
synthesis_ops_json,3,168,1,7009,7009,260,260,1,0,2.631,0,5.7691
synthesis_ops_json,3,168,2,7009,260,26639,1550,0,2,2.506,1,1.8788
synthesis_ops_json,3,168,3,7009,26639,418,2399,0,612,0.6204,129,14.5928
synthesis_ops_json,3,168,4,7009,418,270,26639,0,16,2.664,129,16.5721
synthesis_ops_json,3,168,5,7009,270,12038,2873,0,1,0.1673,129,7.1455
synthesis_ops_json,4,169,1,260,260,4031,1550,0,2,0.747,2,1.8788
synthesis_ops_json,4,169,2,260,4031,26639,2399,0,595,5.0237,16,14.5928
synthesis_ops_json,4,169,3,260,26639,2873,26639,0,1934,1.8068,25,16.5721
synthesis_ops_json,4,169,4,260,2873,418,2873,0,247,2.1923,1,7.1455
synthesis_ops_json,4,169,5,260,418,270,418,0,1642,3.6385,72,1.1765
synthesis_ops_json,5,170,1,1550,1550,2399,2399,1,0,13.2792,0,14.5928
